PSCL	EXPR	MODE	PACKETS	OUT_TIME	W	LOCK_MODE	S	N
32	PACKET_2	serial	131072	2228.864502	8000	2	1	3
32	PACKET_2	parallel	18724	380.533691	8000	2	1	7
32	PACKET_2	serial	131072	2228.750977	8000	2	1	7
32	PACKET_2	parallel	8738	187.859009	8000	2	1	15
32	PACKET_2	serial	131072	2230.563721	8000	2	1	15
32	PACKET_2	parallel	131072	2408.815430	8000	2	4	1
32	PACKET_2	serial	131072	2268.933350	8000	2	4	1
32	PACKET_2	parallel	65536	1261.553711	8000	2	4	2
32	PACKET_2	serial	131072	2236.656738	8000	2	4	2
32	PACKET_2	parallel	43690	867.070007	8000	2	4	3
32	PACKET_2	serial	131072	2231.937256	8000	2	4	3
32	PACKET_2	parallel	18724	410.028992	8000	2	4	7
32	PACKET_2	serial	131072	2233.691406	8000	2	4	7
32	PACKET_2	parallel	8738	272.200317	8000	2	4	15
32	PACKET_2	serial	131072	2228.491699	8000	2	4	15
32	PACKET_2	parallel	131072	2312.244141	8000	2	8	1
32	PACKET_2	serial	131072	2235.179443	8000	2	8	1
32	PACKET_2	parallel	65536	1179.565674	8000	2	8	2
32	PACKET_2	serial	131072	2229.927979	8000	2	8	2
32	PACKET_2	parallel	43690	811.358643	8000	2	8	3
32	PACKET_2	serial	131072	2235.866699	8000	2	8	3
32	PACKET_2	parallel	18724	372.315002	8000	2	8	7
32	PACKET_2	serial	131072	2233.370361	8000	2	8	7
32	PACKET_2	parallel	8738	245.129669	8000	2	8	15
32	PACKET_2	serial	131072	2237.518799	8000	2	8	15
32	PACKET_2	parallel	131072	378.777344	1000	4	1	1
32	PACKET_2	serial	131072	289.256317	1000	4	1	1
32	PACKET_2	parallel	65536	193.850677	1000	4	1	2
32	PACKET_2	serial	131072	287.860992	1000	4	1	2
32	PACKET_2	parallel	43690	138.890991	1000	4	1	3
32	PACKET_2	serial	131072	290.377319	1000	4	1	3
32	PACKET_2	parallel	18724	113.131332	1000	4	1	7
32	PACKET_2	serial	131072	290.121338	1000	4	1	7
32	PACKET_2	parallel	8738	220.742004	1000	4	1	15
32	PACKET_2	serial	131072	290.130341	1000	4	1	15
32	PACKET_2	parallel	131072	383.929016	1000	4	4	1
32	PACKET_2	serial	131072	291.476349	1000	4	4	1
32	PACKET_2	parallel	65536	238.848328	1000	4	4	2
32	PACKET_2	serial	131072	288.104340	1000	4	4	2
32	PACKET_2	parallel	43690	193.701324	1000	4	4	3
32	PACKET_2	serial	131072	292.651337	1000	4	4	3
32	PACKET_2	parallel	18724	155.940002	1000	4	4	7
32	PACKET_2	serial	131072	288.822998	1000	4	4	7
32	PACKET_2	parallel	8738	240.473999	1000	4	4	15
32	PACKET_2	serial	131072	291.503662	1000	4	4	15
32	PACKET_2	parallel	131072	345.713318	1000	4	8	1
32	PACKET_2	serial	131072	289.962006	1000	4	8	1
32	PACKET_2	parallel	65536	184.471329	1000	4	8	2
32	PACKET_2	serial	131072	292.531006	1000	4	8	2
32	PACKET_2	parallel	43690	135.833664	1000	4	8	3
32	PACKET_2	serial	131072	293.569000	1000	4	8	3
32	PACKET_2	parallel	18724	102.535339	1000	4	8	7
32	PACKET_2	serial	131072	289.947327	1000	4	8	7
32	PACKET_2	parallel	8738	242.403992	1000	4	8	15
32	PACKET_2	serial	131072	291.555328	1000	4	8	15
32	PACKET_2	parallel	131072	644.766357	2000	4	1	1
32	PACKET_2	serial	131072	571.336975	2000	4	1	1
32	PACKET_2	parallel	65536	329.861664	2000	4	1	2
32	PACKET_2	serial	131072	567.176697	2000	4	1	2
32	PACKET_2	parallel	43690	236.071991	2000	4	1	3
32	PACKET_2	serial	131072	580.719666	2000	4	1	3
32	PACKET_2	parallel	18724	109.196335	2000	4	1	7
32	PACKET_2	serial	131072	576.726685	2000	4	1	7
32	PACKET_2	parallel	8738	179.421341	2000	4	1	15
